"","logFC","logCPM","F","PValue","FDR","SYMBOL","GENENAME","ENTREZID"
"ENSMUSG00000091993",-1.57274551638707,1.02121624352264,10.3045906706814,0.00698982267702318,0.0141810789073089,NA,NA,NA
"ENSMUSG00000027180",0.612738743371005,5.9454598970087,10.2803110067121,0.00699510002531068,0.0141901945013955,"Fbxo3","F-box protein 3","57443"
"ENSMUSG00000022867",0.76073563255421,5.40451071829086,10.2780036979026,0.00699997726473389,0.0141984964855191,"Usp25","ubiquitin specific peptidase 25","30940"
"ENSMUSG00000074340",-2.57912910659264,-0.84383471080455,9.69689254518743,0.00701470312582795,0.0142267709511944,"Ovgp1","oviductal glycoprotein 1","12659"
"ENSMUSG00000047446",-1.03869237373352,5.78015965890157,10.2629373066892,0.00703152010306013,0.0142592796710005,"Arl4a","ADP-ribosylation factor-like 4A","11861"
"ENSMUSG00000027737",0.81245308063459,5.90459045128299,10.2581689950602,0.00704148017292268,0.0142778774816418,"Slc7a11","solute carrier family 7 (cationic amino acid transporter, y+ system), member 11","26570"
"ENSMUSG00000048647",-1.60237348631666,0.686278707109045,10.2813699742873,0.00705175170172353,0.0142971025929274,"Exd1","exonuclease 3'-5' domain containing 1","241624"
"ENSMUSG00000081214",1.30606549756463,0.891161935288129,10.2656302157831,0.00706455195328912,0.0143213147006964,NA,NA,NA
"ENSMUSG00000079614",0.74973341155454,5.47883160695094,10.2468892867251,0.00706527690368738,0.0143213147006964,"Seh1l","SEH1-like (S. cerevisiae","72124"
"ENSMUSG00000097445",-1.67325776593924,0.194939179472089,10.2698108008207,0.0070684220033616,0.0143260848332947,NA,NA,NA
"ENSMUSG00000022494",-1.97425333512877,1.47848751556656,10.2625284074829,0.00706930829058793,0.0143262763106639,"Shisa9","shisa family member 9","72555"
"ENSMUSG00000058756",-1.65433357478931,4.71174983249054,10.232182357472,0.00709669436368993,0.0143799254027436,"Thra","thyroid hormone receptor alpha","21833"
"ENSMUSG00000029030",-0.790535147535568,7.83686458790496,10.2317076754283,0.00709737101898526,0.0143799254027436,"Tprg1l","transformation related protein 63 regulated 1 like","67808"
"ENSMUSG00000087578",-1.71819192942335,0.109064524511483,10.2128064520768,0.00710103584192877,0.0143857397254526,NA,NA,NA
"ENSMUSG00000002100",-2.25139143692809,0.608970958662075,9.89760369154218,0.00710283208840907,0.0143877676864739,"Mybpc3","myosin binding protein C, cardiac","17868"
"ENSMUSG00000101595",-3.42286648306269,-1.24963482275859,9.7343073959174,0.00711269601519156,0.0144061355650801,NA,NA,NA
"ENSMUSG00000078700",-1.03222384059461,3.06688372465743,10.2237374990027,0.00711624422206522,0.0144117088325303,"D030028A08Rik","RIKEN cDNA D030028A08 gene","319371"
"ENSMUSG00000029472",0.734939803790307,7.50043519515499,10.2210078298138,0.00712012066905122,0.0144162640029484,"Anapc5","anaphase-promoting complex subunit 5","59008"
"ENSMUSG00000046463",-2.86648150869504,-1.03422185206317,9.71438043740068,0.00712078721903791,0.0144162640029484,NA,NA,NA
"ENSMUSG00000095123",-2.36117885783178,0.708003546703535,10.2228029961915,0.0071208838442685,0.0144162640029484,NA,NA,NA
"ENSMUSG00000108267",-5.0027147944496,-0.981559755356426,10.2768344595895,0.00713144398101838,0.0144360277409449,NA,NA,NA
"ENSMUSG00000043505",-1.43946446136524,2.57085699469375,10.2186818465449,0.00713561049398708,0.0144426395805567,"Gimap5","GTPase, IMAP family member 5","317757"
"ENSMUSG00000024983",0.650176498332663,4.74279111693519,10.2135351919265,0.00713630674018556,0.0144426395805567,"Vti1a","vesicle transport through interaction with t-SNAREs 1A","53611"
"ENSMUSG00000089214",-2.41583529271672,-0.0186346020276091,9.81619698596963,0.00713805782662529,0.01444456775049,"Mir1931","microRNA 1931","100316689"
"ENSMUSG00000050697",0.914593164528858,4.96743311550421,10.2112166059695,0.0071411736671786,0.0144488161253895,"Prkaa1","protein kinase, AMP-activated, alpha 1 catalytic subunit","105787"
"ENSMUSG00000036940",0.656267325517698,4.97613815913141,10.2109312294602,0.00714175441382625,0.0144488161253895,"Kdm1a","lysine (K)-specific demethylase 1A","99982"
"ENSMUSG00000041264",0.672595061516019,4.28558166461227,10.2091676363945,0.00714572491325327,0.0144552326537893,"Uspl1","ubiquitin specific peptidase like 1","231915"
"ENSMUSG00000110713",-7.0014918285974,-1.09998279188512,10.8432456094977,0.00716555408952682,0.0144937250018791,NA,NA,NA
"ENSMUSG00000026058",-2.62848809527802,0.747502976620024,10.0075736667583,0.00717898376249061,0.0145186670603542,"Khdrbs2","KH domain containing, RNA binding, signal transduction associated 2","170771"
"ENSMUSG00000036053",-1.26650476256973,4.28421705418562,10.1935237959269,0.00717949008948149,0.0145186670603542,"Fmnl2","formin-like 2","71409"
"ENSMUSG00000020212",0.868907159171759,2.4858141979106,10.1914992899748,0.00718592510576858,0.0145298175506166,"Mdm1","MDM1 nuclear protein","17245"
"ENSMUSG00000077737",-1.8531736537929,-0.680479755118072,9.87991117612911,0.00718661013985896,0.0145298175506166,NA,NA,NA
"ENSMUSG00000101674",-2.57201669463251,-0.828368649105776,9.53452310038838,0.00718914362142826,0.0145331074407429,"4930444A19Rik","RIKEN cDNA 4930444A19 gene","73980"
"ENSMUSG00000059921",-1.42264161121464,2.97280794725829,10.1896755532939,0.00718984384580168,0.0145331074407429,"Unc5c","unc-5 netrin receptor C","22253"
"ENSMUSG00000000861",-2.45100941787581,1.10481190843167,10.1011758064343,0.00719715348454754,0.014546257595612,"Bcl11a","BCL11 transcription factor A","14025"
"ENSMUSG00000104027",-7.00967655831316,-0.804699567891538,10.961174171058,0.00720097179010114,0.0145512695449188,NA,NA,NA
"ENSMUSG00000036769",-0.767664437362568,3.87834845045567,10.1834566348184,0.00720124177887597,0.0145512695449188,"Wdr44","WD repeat domain 44","72404"
"ENSMUSG00000001520",-1.35789901237643,1.81257476782526,10.1878007681005,0.00720245710398423,0.0145521000985356,"Nrip2","nuclear receptor interacting protein 2","60345"
"ENSMUSG00000029826",1.0045482020011,4.788291976995,10.1807270487218,0.00720680415119775,0.0145592572027268,"Zc3hav1","zinc finger CCCH type, antiviral 1","78781"
"ENSMUSG00000038759",1.29324881889523,3.44424046264163,10.1799032036679,0.00720925428862964,0.014561607651485,"Nup205","nucleoporin 205","70699"
"ENSMUSG00000028419",0.641813901281832,7.23283478398656,10.179316715212,0.007209577258719,0.014561607651485,"Chmp5","charged multivesicular body protein 5","76959"
"ENSMUSG00000039531",-0.768375385769882,4.88501310478872,10.178917466315,0.00721061483789592,0.0145620777164919,"Zup1","zinc finger containing ubiquitin peptidase 1","72580"
"ENSMUSG00000056310",0.802324512216209,4.67270729147243,10.1768993968056,0.00721503097602366,0.0145693700278121,"Tyw1","tRNA-yW synthesizing protein 1 homolog (S. cerevisiae)","100929"
"ENSMUSG00000002617",-1.09330475911211,2.79866147000547,10.1693487763397,0.00723345987432496,0.0146049536330947,"Zfp40","zinc finger protein 40","22700"
"ENSMUSG00000106475",-1.94536695990312,0.359142402010073,10.0462201285457,0.00723651627673811,0.0146094944203328,NA,NA,NA
"ENSMUSG00000036553",0.799395226099942,3.61480192005766,10.1655883052606,0.00724003218729809,0.0146137165942725,"Sh3tc1","SH3 domain and tetratricopeptide repeats 1","231147"
"ENSMUSG00000022210",0.854224902576559,5.4078319734428,10.1651729078559,0.00724029025924892,0.0146137165942725,"Dhrs4","dehydrogenase/reductase 4","28200"
"ENSMUSG00000106978",-6.40546739961217,-1.22984618674611,10.9247585984686,0.00724103074490977,0.0146137165942725,NA,NA,NA
"ENSMUSG00000022760",0.695861877544822,5.38916120351739,10.1537567316773,0.00726508330226268,0.0146606237104438,"Thap7","THAP domain containing 7","69009"
"ENSMUSG00000018965",1.19810772670168,9.78781987571508,10.1524888222659,0.00726783349603691,0.0146645379105382,"Ywhah","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide","22629"
"ENSMUSG00000075268",1.02566566426481,1.84126421701119,10.1516620029132,0.00727623539625197,0.0146790432226686,NA,NA,NA
"ENSMUSG00000012428",-2.61001381674074,2.07350854233449,10.1191340024577,0.00727664503753469,0.0146790432226686,"Steap4","STEAP family member 4","117167"
"ENSMUSG00000022185",-0.994313428788045,4.72379474473137,10.1433802046122,0.00728800973075172,0.0147003299953725,"Acin1","apoptotic chromatin condensation inducer 1","56215"
"ENSMUSG00000089726",-1.62291945961774,0.424879233777599,10.1592966729187,0.00728935656164042,0.0147014076769323,"Mir17hg","Mir17 host gene (non-protein coding)","75957"
"ENSMUSG00000113669",-3.0830898881957,-0.320300482711946,9.42185505685031,0.0073015550862688,0.0147243687222315,NA,NA,NA
"ENSMUSG00000007721",0.764302794073811,6.61926603932197,10.136398689538,0.00730303961606377,0.0147257211382416,"Ccdc124","coiled-coil domain containing 124","234388"
"ENSMUSG00000090565",-2.49158200927856,-1.0025798762651,9.48203099301,0.00730553902241924,0.0147291194041265,"4930405O22Rik","RIKEN cDNA 4930405O22 gene","414079"
"ENSMUSG00000111160",-2.94386993783914,-0.488578042361306,9.57003541539734,0.00731493562540887,0.0147464212000582,NA,NA,NA
"ENSMUSG00000038507",0.977055502915466,5.25090428205501,10.1291695118485,0.00731908844525008,0.0147531492023072,"Parp12","poly (ADP-ribose) polymerase family, member 12","243771"
"ENSMUSG00000107168",-2.192920643617,0.404109899635329,10.0826059995484,0.00732097618277571,0.0147553104684149,NA,NA,NA
"ENSMUSG00000027650",0.82659095831273,3.49910914497719,10.1237900054509,0.00733157050580496,0.0147750172824158,"Tti1","TELO2 interacting protein 1","75425"
"ENSMUSG00000025857",1.07392046316743,2.50629299114487,10.1238644846765,0.00733325906539102,0.0147767742811137,"Dnaaf5","dynein, axonemal assembly factor 5","433956"
"ENSMUSG00000102212",-3.10249842272776,-0.362045934116545,9.3949888787999,0.00733408688286662,0.014776796656092,NA,NA,NA
"ENSMUSG00000035298",-1.71640412428585,0.505773596042095,10.1329963082376,0.0073360724106566,0.0147781479540395,"Klhl35","kelch-like 35","72184"
"ENSMUSG00000038990",0.719715487540271,3.96226533415646,10.1214551806049,0.00733639114150129,0.0147781479540395,"Cables2","CDK5 and Abl enzyme substrate 2","252966"
"ENSMUSG00000078427",-1.71966396275165,5.80384860919184,10.1171790422699,0.00734544999046921,0.0147937000442535,"Sarnp","SAP domain containing ribonucleoprotein","66118"
"ENSMUSG00000054051",0.770001619682719,3.77973786482075,10.1169348998045,0.00734646772987178,0.0147937000442535,"Ercc6","excision repair cross-complementing rodent repair deficiency, complementation group 6","319955"
"ENSMUSG00000025577",1.56359897039808,0.478715181899535,10.1529423432263,0.00734656468786923,0.0147937000442535,"Cbx2","chromobox 2","12416"
"ENSMUSG00000037921",-1.18398966845888,2.86392045676538,10.1192789830165,0.00734988062505156,0.0147987302636387,"Ddx60","DExD/H box helicase 60","234311"
"ENSMUSG00000026761",0.819497756628865,5.81717854396217,10.1035310618757,0.00737557582247725,0.0148488142156538,"Orc4","origin recognition complex, subunit 4","26428"
"ENSMUSG00000024696",1.02141480730631,7.07661162589597,10.1020561616023,0.00737884319453083,0.0148537394213002,"Lpxn","leupaxin","107321"
"ENSMUSG00000026872",-0.636128892236193,6.43053726651825,10.090338941746,0.00740491925273981,0.0149045727043966,"Zeb2","zinc finger E-box binding homeobox 2","24136"
"ENSMUSG00000020491",-0.983950040007332,2.06168863038531,10.0922545668726,0.00740625260875529,0.0149055982703236,"2810021J22Rik","RIKEN cDNA 2810021J22 gene","69944"
"ENSMUSG00000050088",0.676085187241555,5.22844899166163,10.0872543704501,0.0074118697175257,0.0149152439994653,"1600012H06Rik","RIKEN cDNA 1600012H06 gene","67912"
"ENSMUSG00000026667",0.97804865246032,4.67198000420792,10.0856905120891,0.00741552305535085,0.0149209362367063,"Uhmk1","U2AF homology motif (UHM) kinase 1","16589"
"ENSMUSG00000024081",-0.631365243873923,5.00726709480234,10.0849420922237,0.00741707458289156,0.0149213934613309,"Cebpz","CCAAT/enhancer binding protein zeta","12607"
"ENSMUSG00000056679",-2.28251042589709,-0.504634631318755,9.62595424877151,0.00741739970105622,0.0149213934613309,"Gpr173","G-protein coupled receptor 173","70771"
"ENSMUSG00000040302",-0.797880417647843,3.89871616580741,10.0834569953875,0.00742083565288579,0.0149266458552154,"Rbm48","RNA binding motif protein 48","269623"
"ENSMUSG00000026430",-1.01299379055381,5.30800153878131,10.0814560349101,0.00742489581720482,0.0149331525145272,"Rassf5","Ras association (RalGDS/AF-6) domain family member 5","54354"
"ENSMUSG00000028496",1.12840711700406,3.45289560651984,10.0790639300859,0.00743100662940843,0.01494378158785,"Mllt3","myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3","70122"
"ENSMUSG00000037375",1.04899128003489,1.58683531739785,10.0712511321441,0.00745711516295691,0.0149946193202244,"Hhat","hedgehog acyltransferase","226861"
"ENSMUSG00000022092",-0.682273052882384,4.13759367027143,10.0659339773759,0.00746001639052639,0.0149987861488825,"Ppp3cc","protein phosphatase 3, catalytic subunit, gamma isoform","19057"
"ENSMUSG00000096401",-1.05639314987771,2.3682860180011,10.0665783649186,0.00746227405907445,0.0150009599069919,"Gm21811","predicted gene, 21811","101056094"
"ENSMUSG00000001552",-1.2647971366178,4.66330435830247,10.0645695850357,0.00746296786617718,0.0150009599069919,"Jup","junction plakoglobin","16480"
"ENSMUSG00000002014",0.764561206532473,7.44514422090222,10.0641482048326,0.00746358487164875,0.0150009599069919,"Ssr4","signal sequence receptor, delta","20832"
"ENSMUSG00000059273",-1.44719899875654,2.792165041227,10.0623605738636,0.00747123390115143,0.0150146656640601,"Zc3h4","zinc finger CCCH-type containing 4","330474"
"ENSMUSG00000040410",-0.790139635855179,3.90073395778436,10.0597060922242,0.00747416585688006,0.0150175321884877,"Fbxl4","F-box and leucine-rich repeat protein 4","269514"
"ENSMUSG00000021377",0.638645697240667,6.55844662323491,10.0593829091995,0.00747432030936449,0.0150175321884877,"Dek","DEK proto-oncogene","110052"
"ENSMUSG00000026380",-2.73813648956491,0.624756554625223,9.99564167432437,0.00747763055524539,0.0150225149495953,"Tfcp2l1","transcription factor CP2-like 1","81879"
"ENSMUSG00000027479",0.845072055938826,8.28002597836421,10.0568801495623,0.00747996122999331,0.0150255288702419,"Mapre1","microtubule-associated protein, RP/EB family, member 1","13589"
"ENSMUSG00000079480",0.641953940348332,5.21737087800538,10.0542450083603,0.00748600990109801,0.0150360098957112,"Pin4","peptidyl-prolyl cis/trans isomerase, NIMA-interacting, 4 (parvulin)","69713"
"ENSMUSG00000021024",0.701406304478125,8.20195881566306,10.0502390796347,0.00749496206825942,0.0150523197581327,"Psma6","proteasome subunit alpha 6","26443"
"ENSMUSG00000087397",-3.4733794815959,-1.28720695662916,9.55741994520005,0.00749704519566346,0.0150548322669411,NA,NA,NA
"ENSMUSG00000032754",0.640855257520014,5.10815419326434,10.0383690900467,0.00752196603364106,0.0151031995834722,"Slc8b1","solute carrier family 8 (sodium/lithium/calcium exchanger), member B1","170756"
"ENSMUSG00000103672",-2.82239446716556,-0.433310890524698,9.5825001070779,0.0075270924136268,0.0151108501303461,NA,NA,NA
"ENSMUSG00000085582",-5.86599220724437,-1.50666753739508,10.6995332170336,0.00752744664924608,0.0151108501303461,"3110099E03Rik","RIKEN cDNA 3110099E03 gene","100043232"
