"","logFC","logCPM","F","PValue","FDR","SYMBOL","GENENAME","ENTREZID"
"ENSMUSG00000046591",2.63069687567549,0.504007387422109,30.4072522656252,0.000107157395551715,0.000647129091360875,"Ticrr","TOPBP1-interacting checkpoint and replication regulator","77011"
"ENSMUSG00000030921",-2.01683303142958,5.79019067331062,30.2672997235985,0.000107235834241995,0.000647386703016487,"Trim30a","tripartite motif-containing 30A","20128"
"ENSMUSG00000004846",1.15902477129836,6.25415607916356,30.2400254578753,0.000107676493485742,0.000649629616866711,"Plod3","procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3","26433"
"ENSMUSG00000032872",1.22745342439346,6.21471658188749,30.2401303046913,0.000107679169899036,0.000649629616866711,"Cyb5r4","cytochrome b5 reductase 4","266690"
"ENSMUSG00000030095",1.5048870376046,6.46356368818657,30.2245158183286,0.000107932156939284,0.000650938838500825,"Tmem43","transmembrane protein 43","74122"
"ENSMUSG00000001240",-1.40077906211367,4.72511564003195,30.2206819634382,0.000108010240350415,0.000651192695321581,"Ramp2","receptor (calcitonin) activity modifying protein 2","54409"
"ENSMUSG00000027843",-2.49521788881988,3.15155530677724,30.2291959854742,0.000108065271433652,0.000651307447051655,"Ptpn22","protein tyrosine phosphatase, non-receptor type 22 (lymphoid)","19260"
"ENSMUSG00000020101",-1.30650879991242,8.62905951366026,30.2111264833097,0.000108153254306558,0.000651620656066782,"Vsir","V-set immunoregulatory receptor","74048"
"ENSMUSG00000000957",1.22257633727559,6.78834855378317,30.2065339481218,0.000108229610174361,0.000651863627458294,"Mmp14","matrix metallopeptidase 14 (membrane-inserted)","17387"
"ENSMUSG00000041308",1.41519336248677,3.8638490832947,30.1766048455027,0.000108771049499459,0.000654906688383933,"Sntb2","syntrophin, basic 2","20650"
"ENSMUSG00000022257",-1.30183102901007,6.91609660766037,30.1715769447246,0.000108810301677624,0.000654925079259232,"Laptm4b","lysosomal-associated protein transmembrane 4B","114128"
"ENSMUSG00000110332",-3.7353074581597,0.178428294322847,26.1438729361391,0.000108913878266768,0.000655330495337755,"Gm19935","predicted gene, 19935","100503868"
"ENSMUSG00000038679",-1.95782204664542,4.13856682078264,30.1531517027542,0.000109168137806445,0.000656641993793889,"Trps1","transcriptional repressor GATA binding 1","83925"
"ENSMUSG00000052812",-1.56285255872655,3.91599134124125,30.1203115694635,0.000109721268461185,0.000659625980536078,"Atad2b","ATPase family, AAA domain containing 2B","320817"
"ENSMUSG00000032589",2.60711765351451,1.49070787702076,30.2130162757173,0.000109737147041043,0.000659625980536078,"Bsn","bassoon","12217"
"ENSMUSG00000085417",-7.38282302515389,-0.51508730014022,35.1277335994369,0.000109838834313285,0.000660017943948943,NA,NA,NA
"ENSMUSG00000034573",-2.94411139509775,2.35309627155694,30.2263340516549,0.000109879456484179,0.00066004283073315,"Ptpn13","protein tyrosine phosphatase, non-receptor type 13","19249"
"ENSMUSG00000040537",-2.42695274187805,3.06838609006704,30.1326624208264,0.000110046383227475,0.000660750057216418,"Adam22","a disintegrin and metallopeptidase domain 22","11496"
"ENSMUSG00000086841",-1.34482404037228,4.19327016856275,30.0972987372461,0.000110084118359969,0.000660750057216418,"2410006H16Rik","RIKEN cDNA 2410006H16 gene","69221"
"ENSMUSG00000098112",-2.62265741232868,8.08427166876647,30.0943073087132,0.000110106749710247,0.000660750057216418,"Bin2","bridging integrator 2","668218"
"ENSMUSG00000022329",1.48738592688011,5.3921843901466,30.0870322648784,0.000110237266031807,0.000661313943737892,"Stk3","serine/threonine kinase 3","56274"
"ENSMUSG00000023092",1.49457515637646,5.68381794934677,30.0765724808838,0.000110408684873369,0.000662122749557129,"Fhl1","four and a half LIM domains 1","14199"
"ENSMUSG00000061689",0.988481086976154,5.94379814728974,30.0679375341814,0.000110553651000995,0.000662772434579523,"Dlgap4","DLG associated protein 4","228836"
"ENSMUSG00000031608",1.19696383580871,4.85032758459411,30.0515827540217,0.000110841267222621,0.000664276597502113,"Galnt7","polypeptide N-acetylgalactosaminyltransferase 7","108150"
"ENSMUSG00000081833",2.96976976085202,-0.565324384708665,25.9405856114163,0.000110944707829003,0.000664439886370232,NA,NA,NA
"ENSMUSG00000034028",-8.99663310189417,0.515048036601631,34.888808295195,0.000110977329552074,0.000664439886370232,"Cd226","CD226 antigen","225825"
"ENSMUSG00000108004",-7.15516395378008,-0.738448231031079,34.9735460562629,0.000110978684386826,0.000664439886370232,NA,NA,NA
"ENSMUSG00000113776",-4.57096414720867,0.455641132992606,25.6155880493546,0.000111029852873866,0.000664526340736638,NA,NA,NA
"ENSMUSG00000029430",1.2508265924884,8.70711755311428,30.0312531033483,0.000111177995521876,0.000665059390452506,"Ran","RAN, member RAS oncogene family","19384"
"ENSMUSG00000042873",-3.04625506356153,2.18186011728665,30.1533041319252,0.00011119243111252,0.000665059390452506,"Lhfpl4","lipoma HMGIC fusion partner-like protein 4","269788"
"ENSMUSG00000022378",-1.48678492844546,7.90938465465734,30.0165728509356,0.000111429176752982,0.000666066027711227,"Cyrib","CYFIP related Rac1 interactor B","223601"
"ENSMUSG00000024066",2.25740324755008,4.99885872296253,30.0210428573061,0.000111434359469512,0.000666066027711227,"Xdh","xanthine dehydrogenase","22436"
"ENSMUSG00000028597",1.49282927021923,3.96369169717856,30.0129400548735,0.000111522074685157,0.00066637017743677,"Gpx7","glutathione peroxidase 7","67305"
"ENSMUSG00000032908",-3.53811496639152,0.96843576218028,27.0602917317471,0.000111650009460225,0.00066691436816238,"Sgpp2","sphingosine-1-phosphate phosphatase 2","433323"
"ENSMUSG00000029814",3.11875158659048,0.835117667475365,30.1873513915334,0.000111864500600271,0.000667913210771898,"Igf2bp3","insulin-like growth factor 2 mRNA binding protein 3","140488"
"ENSMUSG00000026123",1.43739748784458,6.73937809567715,29.9896857995978,0.000111891059628012,0.000667913210771898,"Plekhb2","pleckstrin homology domain containing, family B (evectins) member 2","226971"
