"","logFC","logCPM","F","PValue","FDR","SYMBOL","GENENAME","ENTREZID"
"ENSMUSG00000040268",0.105758817586149,6.46776948092014,0.294065861826061,0.596929885083879,0.772133127456865,"Plekha1","pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1","101476"
"ENSMUSG00000066643",-0.157430762387512,2.7853763398383,0.294037788563177,0.596948996123729,0.772133127456865,"Wdr35","WD repeat domain 35","74682"
"ENSMUSG00000036845",-0.12280703342603,5.05255801286401,0.293682896550733,0.597166320582546,0.772359013389092,"Lin37","lin-37 DREAM MuvB core complex component","75660"
"ENSMUSG00000033282",-0.19430551778841,1.6540969330836,0.293420906874442,0.597335859041638,0.772523066307388,"Rpgrip1l","Rpgrip1-like","244585"
"ENSMUSG00000028093",-0.13341817815017,5.03305943544788,0.293202310856336,0.597463203599735,0.772608058734606,"Acp6","acid phosphatase 6, lysophosphatidic","66659"
"ENSMUSG00000003721",-0.137530595513583,5.85530775674593,0.293163612475014,0.597486981584845,0.772608058734606,"Insig2","insulin induced gene 2","72999"
"ENSMUSG00000027694",-0.227130507052467,2.4655908392299,0.29255611674614,0.597865684739589,0.773000765635439,NA,NA,NA
"ENSMUSG00000120347",-0.412234474736595,-1.18993124929581,0.289478762608589,0.597876124153116,0.773000765635439,NA,NA,NA
"ENSMUSG00000117465",0.235600990650503,1.64160584089636,0.29216528681201,0.598113166214465,0.773251984017028,NA,NA,NA
"ENSMUSG00000060862",-0.248558858604696,1.58059421364216,0.29181922795389,0.598328570359266,0.77347519459204,"Zbtb40","zinc finger and BTB domain containing 40","230848"
"ENSMUSG00000064043",0.216641396659812,2.06534522162902,0.291726453291023,0.598381651065618,0.7734885484554,"Trerf1","transcriptional regulating factor 1","224829"
"ENSMUSG00000026854",-0.192291815377937,3.59562427789887,0.291307953788283,0.5986370586846,0.773763416400948,"Usp20","ubiquitin specific peptidase 20","74270"
"ENSMUSG00000035299",0.222145337591836,-0.0252165793296075,0.291192086165917,0.598813350809044,0.773905078797862,"Mid1","midline 1","17318"
"ENSMUSG00000055216",-0.196671476948586,0.181105746155167,0.290221548773167,0.598858381501883,0.773905078797862,NA,NA,NA
"ENSMUSG00000050192",-0.171272272203989,3.18754483048871,0.290917073961869,0.598880207706881,0.773905078797862,"Eif5a2","eukaryotic translation initiation factor 5A2","208691"
